Brand,Channel,Conversation Origin,Conversation URL,Conversation Tags,Message Type,Staff Name,Staff Email,Message Timestamp,Message Body
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-e0d81e8354152586/perma?token=6ad66ba09166b,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:27:00.205-04:00,"Hi Caroline,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the coconut flavor you selected is currently out of stock. However, we do have a variety of delicious alternatives available in our Lemon Perfect line. You can choose from the following flavors: Watermelon, Sunshine Tea, Peach, Lemon, Lime, and Mango.

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.

Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-da6840e72f5bb03c/perma?token=260adaf99ce9b,Cancel/Refund,Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:38:46.430-04:00,"Hi Michelle,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the flavor you selected for the Calypso is currently out of stock. However, we do have a variety of delicious alternatives available in our Calypso line. You can choose from the following flavors:  
OCEAN BLUE LEMONADE  
GRAPEBERRY LEMONADE  
ISLAND WAVE LEMONADE  
KIWI LEMONADE  
ORIGINAL LEMONADE  
PARADISE PUNCH LEMONADE  
PINEAPPLE PEACH LIMEADE  
STRAWBERRY LEMONADE  
TRIPLE MELON LEMONADE  
TROPIC TANGO LEMONADE  
TROPICAL MANGO LEMONADE

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.  
Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,   
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-b1c9c4b694c5e24a/perma?token=cc86d467ba93d,Cancel/Refund,Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:40:51.797-04:00,"Hi Karen,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the flavor you selected for the Calypso is currently out of stock. However, we do have a variety of delicious alternatives available in our Calypso line. You can choose from the following flavors:  
OCEAN BLUE LEMONADE  
GRAPEBERRY LEMONADE  
ISLAND WAVE LEMONADE  
KIWI LEMONADE  
ORIGINAL LEMONADE  
PARADISE PUNCH LEMONADE  
PINEAPPLE PEACH LIMEADE  
STRAWBERRY LEMONADE  
TRIPLE MELON LEMONADE  
TROPIC TANGO LEMONADE  
TROPICAL MANGO LEMONADE  
SOUTHERN PEACH LEMONADE

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.  
Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,   
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-1b6e8e83a962248b/perma?token=6388f96de9bcd,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:41:49.733-04:00,"Hi Paige,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the flavor you selected for the Calypso is currently out of stock. However, we do have a variety of delicious alternatives available in our Calypso line. You can choose from the following flavors:  
OCEAN BLUE LEMONADE  
GRAPEBERRY LEMONADE  
ISLAND WAVE LEMONADE  
KIWI LEMONADE  
ORIGINAL LEMONADE  
PARADISE PUNCH LEMONADE  
PINEAPPLE PEACH LIMEADE  
STRAWBERRY LEMONADE  
TRIPLE MELON LEMONADE  
TROPIC TANGO LEMONADE  
TROPICAL MANGO LEMONADE  
SOUTHERN PEACH LEMONADE

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.  
Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,   
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-39f0a1b323bd3325/perma?token=95b98bd1d552a,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:42:52.623-04:00,"Hi Jack,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the flavor you selected for the Calypso is currently out of stock. However, we do have a variety of delicious alternatives available in our Calypso line. You can choose from the following flavors:  
OCEAN BLUE LEMONADE  
GRAPEBERRY LEMONADE  
ISLAND WAVE LEMONADE  
KIWI LEMONADE  
ORIGINAL LEMONADE  
PARADISE PUNCH LEMONADE  
PINEAPPLE PEACH LIMEADE  
STRAWBERRY LEMONADE  
TRIPLE MELON LEMONADE  
TROPIC TANGO LEMONADE  
TROPICAL MANGO LEMONADE  
SOUTHERN PEACH LEMONADE

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.  
Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,   
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-77c51c1414751270/perma?token=0d9db0fb96817,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-24T19:21:15.091-04:00,"Subject: Action Required: Credit Card Authorization for Your Orders

Hi Erin,

Thank you for placing your orders with us! We appreciate your business and are committed to ensuring a smooth and secure transaction process.

To proceed with the shipping of your two orders, we kindly ask you to complete and return the attached credit card authorization form. This step is necessary for orders exceeding $500, as it helps us maintain a high level of security and protect against credit card fraud. We take these precautions seriously to safeguard both your information and our operations.

If you have any questions or need assistance while filling out the form, please don’t hesitate to reach out. We’re here to help!

Thank you for your understanding and cooperation.

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/were-here-to-help-with-your-cup4cup-gluten-free-pancake-and-waffle-mix/perma?token=5b87761bed074,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-30T13:27:35.970-04:00,"Hi Brittany,

Thank you for visiting our site! I noticed that you showed interest in our **Cup4Cup Gluten Free Pancake & Waffle Mix** but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/empire-kosher-rendered-chicken-fat-25lb/perma?token=ef5555372afc0,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-30T13:31:23.234-04:00,"Hi Neko,

Thank you for taking the time to visit our site! I noticed that you showed interest in our **Empire Kosher Rendered Chicken Fat 25lb** but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have regarding this product.

Whether you need more information about the ingredients, have inquiries about how to use it, or would like assistance navigating the checkout process, please don’t hesitate to reach out. Your satisfaction is our top priority, and we want to ensure you have a seamless and enjoyable shopping experience.

If there’s anything specific that held you back from completing your order, I would love to hear about it so we can address it promptly.

Looking forward to assisting you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-e14aac9e1306ffc3/perma?token=defa7ddc487c3,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-30T13:59:47.524-04:00,"Hi Jennifer,

Thank you for visiting our site! I noticed that you showed interest in our candy but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-05fed5f723cc494f/perma?token=3ff6b49bdc337,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-30T16:29:36.667-04:00,"Hi Pravin,

Please complete and return the attached credit card authorization form so we can release this order for shipping. Due to safety reasons and credit card fraud, we must keep credit card authorization on file for orders over $400. This is to protect you and protect us as well.

Thanks,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-beb55e520c0f5e3e/perma?token=654b7eb162a75,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-30T16:55:39.614-04:00,"Hi Christopher,

Thank you for visiting our site! I noticed that you showed interest in our products but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-a8b72f46b3832ae6/perma?token=47398223200af,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-02T10:05:54.970-04:00,"Hi Brianna

Thank you for visiting our site! I noticed that you showed interest in Dubai Chocolate but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/hi-paul/perma?token=1914677a33277,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-02T14:34:27.617-04:00,"Hi Paul,

Thank you for visiting our site! I noticed that you showed interest in our **BoxNCase Golden Passion Fruit** but didn’t complete your purchase. I want to ensure you have all the information you need to make the best decision for yourself.

If you have any questions about the product, such as its ingredients, benefits, or how it can fit into your lifestyle, please don’t hesitate to reach out. I’m here to provide you with detailed information and answer any concerns you might have.

Additionally, if you encountered any issues during the checkout process or need assistance with finalizing your order, I would be more than happy to help you navigate through it. Your satisfaction is our top priority, and we want to make sure your experience is seamless and enjoyable.

Looking forward to assisting you further!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/thank-you-for-visiting-our-site/perma?token=99421bfb4c046,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-02T14:35:35.034-04:00,"Thank you for visiting our site! I noticed that you showed interest in our products but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-0e6734eda756ce3f/perma?token=5ce57203580af,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-06T12:42:52.926-04:00,"Thank you for visiting our site! I noticed that you showed interest in our products but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-b85c9ba5fc2a503e/perma?token=eb06414138050,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-07T12:40:08.924-04:00,"Thank you for visiting our site! I noticed that you showed interest in our World Globe Chocolate but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-70ccf59e023965fe/perma?token=66efe7d069627,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-07T12:41:18.568-04:00,"Thank you for visiting our site! I noticed that you showed interest in our Coke Zero but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-0314f91b79ad03c0/perma?token=13452bb0dfe50,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-07T12:42:07.552-04:00,"Thank you for visiting our site! I noticed that you showed interest in our Skinny Rice but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-d26e767efe751696/perma?token=afa3879517fad,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-10T12:35:54.357-04:00,"Hi Cheri,

Thank you for your recent order! We truly appreciate your business and are excited to get your items shipped to you.

To proceed with the shipping of your order, we kindly ask that you complete and return the attached credit card authorization form. This step is necessary for orders exceeding $500 due to safety protocols and to help prevent credit card fraud. We take the security of your information very seriously, and this measure is in place to protect both you and us.

If you have any questions or need assistance while filling out the form, please don't hesitate to reach out. We're here to help!

Thank you for your understanding and cooperation.

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/dubai-chocolate/perma?token=9f838bb588b33,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-15T15:21:21.884-04:00,"Hi Nedal,

Thank you for visiting our site! I noticed that you showed interest in our Dubai Chocolate but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/dads-root-beer/perma?token=a5e5511aa13f3,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-15T15:22:44.545-04:00,"Hi Brooke,

Thank you for visiting our site! I noticed that you showed interest in our Dad's Root Beer but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/galvanina-water/perma?token=82ca226481971,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-15T15:23:58.309-04:00,"Hi Tina,

Thank you for visiting our site! I noticed that you showed interest in our Galvanina Waters but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/natalie-juices/perma?token=f91440bfc7ad2,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-05-16T16:08:10.514-04:00,"Hi Krista,

Thank you for visiting our site! I noticed that you showed interest in our Natalie Juices but didn’t complete your purchase. I’m here to assist you with any questions or concerns you might have.

Whether you need more information about the product, have questions about ingredients, or would like assistance with the checkout process, please feel free to reach out. Your satisfaction is our priority, and we want to ensure you have the best experience possible.

Looking forward to helping you!

Best regards,  
Katy"
